"ID","Comune","ID Provincia","ID Regione","Codice Catastale","Coordinate Nord","Coordinate Est","Coordinate Dec Nord","Coordinate Dec Est"
"2172","Bolsena","43","9","A949","42,38,49","11,59,14","42.64694444444444","11.987222222222222"
"2173","Bomarzo","43","9","A955","42,29,35","12,15,7","42.49305555555556","12.251944444444444"
"2174","Calcata","43","9","B388","42,13,5","12,25,15","42.21805555555556","12.420833333333333"
"2175","Canepina","43","9","B597","42,22,56","12,14,4","42.382222222222225","12.234444444444444"
"2176","Canino","43","9","B604","42,28,1","11,45,3","42.466944444444444","11.750833333333333"
"2177","Capodimonte","43","9","B663","42,33,3","11,54,46","42.55083333333333","11.912777777777778"
"2178","Capranica","43","9","B688","42,15,24","12,11,0","42.25666666666667","12.183333333333334"
"2179","Caprarola","43","9","B691","42,19,40","12,14,27","42.32777777777778","12.240833333333333"
"2180","Carbognano","43","9","B735","42,19,58","12,16,7","42.33277777777778","12.268611111111111"
"2181","Castiglione In Teverina","43","9","C315","42,38,46","12,12,16","42.64611111111111","12.204444444444444"
"2182","Celleno","43","9","C446","42,33,49","12,8,33","42.56361111111111","12.1425"
"2183","Cellere","43","9","C447","42,30,38","11,46,21","42.510555555555555","11.7725"
"2184","Civita Castellana","43","9","C765","42,17,16","12,24,50","42.28777777777778","12.41388888888889"
"2185","Corchiano","43","9","C988","42,20,52","12,21,33","42.34777777777778","12.359166666666667"
"2186","Fabrica Di Roma","43","9","D452","42,20,13","12,17,45","42.33694444444445","12.295833333333333"
"2187","Faleria","43","9","D475","42,13,38","12,26,40","42.227222222222224","12.444444444444445"
"2188","Farnese","43","9","D503","42,33,4","11,43,27","42.551111111111105","11.724166666666667"
"2189","Gallese","43","9","D870","42,22,25","12,24,8","42.37361111111111","12.402222222222223"
"2190","Gradoli","43","9","E126","42,38,41","11,51,23","42.64472222222222","11.856388888888889"
"2191","Graffignano","43","9","E128","42,34,28","12,12,14","42.574444444444445","12.203888888888889"
"2192","Grotte Di Castro","43","9","E210","42,40,31","11,52,19","42.67527777777777","11.871944444444445"
"2193","Ischia Di Castro","43","9","E330","42,32,46","11,45,20","42.54611111111111","11.755555555555556"
"2194","Latera","43","9","E467","42,37,40","11,49,44","42.62777777777778","11.828888888888889"
"2195","Lubriano","43","9","E713","42,38,8","12,6,53","42.635555555555555","12.114722222222222"
"2196","Marta","43","9","E978","42,32,9","11,55,33","42.53583333333333","11.925833333333333"
"2197","Montalto Di Castro","43","9","F419","42,21,19","11,36,17","42.35527777777778","11.604722222222222"
"2198","Monte Romano","43","9","F603","42,16,9","11,54,2","42.26916666666666","11.900555555555556"
"2199","Montefiascone","43","9","F499","42,32,23","12,1,57","42.53972222222222","12.0325"
"2200","Monterosi","43","9","F606","42,11,47","12,18,38","42.19638888888888","12.310555555555556"
"2201","Nepi","43","9","B597","42,14,33","12,20,56","42.2425","12.34888888888889"
"2202","Onano","43","9","G065","42,41,39","11,49,1","42.69416666666666","11.816944444444443"
"2203","Oriolo Romano","43","9","G111","42,9,39","12,8,28","42.16083333333333","12.14111111111111"
"2204","Orte","43","9","A740","42,27,42","12,23,8","42.461666666666666","12.385555555555555"
"2205","Piansano","43","9","G571","42,31,10","11,49,42","42.519444444444446","11.828333333333333"
"2206","Proceno","43","9","H071","42,45,30","11,49,51","42.75833333333333","11.830833333333333"
"2207","Ronciglione","43","9","H534","42,17,32","12,13,6","42.29222222222222","12.218333333333334"
"2208","San Lorenzo Nuovo","43","9","H969","42,41,10","11,54,25","42.68611111111111","11.906944444444445"
"2209","Soriano Nel Cimino","43","9","I855","42,25,15","12,14,6","42.420833333333334","12.235"
"2210","Sutri","43","9","L017","42,14,33","12,13,35","42.2425","12.22638888888889"
"2211","Tarquinia","43","9","D024","42,15,23","11,45,26","42.256388888888885","11.757222222222222"
"2212","Tessennano","43","9","L150","42,28,44","11,47,23","42.47888888888889","11.789722222222222"
"2213","Tuscania","43","9","L310","42,25,12","11,52,23","42.419999999999995","11.873055555555556"
"2214","Valentano","43","9","L569","42,34,12","11,49,9","42.57","11.819166666666666"
"2215","Vallerano","43","9","L612","42,23,6","12,15,50","42.385","12.26388888888889"
"2216","Vasanello","43","9","A701","42,25,8","12,20,46","42.41888888888889","12.346111111111112"
"2217","Vejano","43","9","L713","42,13,8","12,5,46","42.21888888888889","12.096111111111112"
"2218","Vetralla","43","9","L814","42,19,19","12,3,17","42.32194444444445","12.054722222222223"
"2219","Vignanello","43","9","L882","42,23,7","12,16,45","42.38527777777778","12.279166666666667"
"2220","Villa San Giovanni In Tuscia","43","9","H913","42,17,4","12,3,18","42.28444444444444","12.055000000000001"
"2221","Viterbo","43","9","M082","42,25,5","12,6,24","42.418055555555554","12.106666666666666"
"2222","Vitorchiano","43","9","M086","42,28,16","12,10,24","42.471111111111114","12.173333333333332"
"2223","Arenzano","82","18","A388","44,24,18","8,40,50","44.405","8.680555555555555"
"2224","Avegno","82","18","A506","44,23,12","9,9,47","44.38666666666666","9.163055555555555"
"2225","Bargagli","82","18","A658","44,26,53","9,5,27","44.448055555555555","9.090833333333334"
"2226","Bogliasco","82","18","A922","44,22,49","9,3,55","44.38027777777778","9.065277777777778"
"2227","Borzonasca","82","18","B067","44,25,18","9,23,20","44.42166666666667","9.38888888888889"
"2228","Busalla","82","18","B282","44,34,22","8,56,46","44.57277777777778","8.946111111111112"
"2229","Camogli","82","18","B490","44,21,9","9,9,15","44.3525","9.154166666666667"
"2230","Campo Ligure","82","18","B538","44,32,20","8,41,56","44.538888888888884","8.69888888888889"
"2231","Campomorone","82","18","B551","44,30,34","8,53,32","44.50944444444445","8.892222222222221"
"2232","Carasco","82","18","B726","44,21,7","9,20,42","44.35194444444445","9.345"
"2233","Casarza Ligure","82","18","B939","44,16,30","9,27,5","44.275","9.451388888888888"
"2234","Casella","82","18","B956","44,32,19","8,59,53","44.53861111111111","8.998055555555554"
"2235","Castiglione Chiavarese","82","18","C302","44,16,32","9,30,56","44.275555555555556","9.515555555555556"
"2236","Ceranesi","82","18","C481","44,30,19","8,53,30","44.50527777777778","8.891666666666666"
"2237","Chiavari","82","18","C621","44,19,2","9,19,25","44.31722222222223","9.323611111111111"
"2238","Cicagna","82","18","C673","44,24,38","9,14,12","44.410555555555554","9.236666666666666"
"2239","Cogoleto","82","18","C823","44,23,32","8,38,42","44.39222222222222","8.645"
"2240","Cogorno","82","18","C826","44,19,45","9,21,13","44.32916666666667","9.35361111111111"
"2241","Coreglia Ligure","82","18","C995","44,23,35","9,15,56","44.393055555555556","9.265555555555556"
"2242","Crocefieschi","82","18","D175","44,35,11","9,1,21","44.58638888888889","9.0225"
"2243","Davagna","82","18","D255","44,28,9","9,5,23","44.469166666666666","9.089722222222223"
"2244","Fascia","82","18","D509","44,33,58","9,14,9","44.566111111111105","9.235833333333332"
"2245","Favale Di Malvaro","82","18","D512","44,27,15","9,15,30","44.45416666666667","9.258333333333333"
"2246","Fontanigorda","82","18","D677","44,32,54","9,18,17","44.54833333333333","9.304722222222223"
"2247","Genova","82","18","D969","44,24,17","8,56,8","44.40472222222222","8.935555555555556"
"2248","Gorreto","82","18","E109","44,36,26","9,17,28","44.60722222222223","9.29111111111111"
"2249","Isola Del Cantone","82","18","E341","44,38,57","8,57,22","44.649166666666666","8.95611111111111"
"2250","Lavagna","82","18","E488","44,18,39","9,20,37","44.31083333333333","9.343611111111112"
"2251","Leivi","82","18","E519","44,21,15","9,18,7","44.35416666666667","9.301944444444445"
"2252","Lorsica","82","18","E695","44,26,2","9,16,26","44.43388888888889","9.273888888888889"
"2253","Lumarzo","82","18","E737","44,26,41","9,8,13","44.44472222222222","9.136944444444444"
"2254","Masone","82","18","F020","44,30,24","8,42,41","44.50666666666667","8.711388888888887"
"2255","Mele","82","18","B527","44,26,50","8,44,41","44.447222222222216","8.74472222222222"
"2256","Mezzanego","82","18","F173","44,23,1","9,22,45","44.38361111111111","9.379166666666666"
"2257","Mignanego","82","18","F202","44,31,18","8,54,28","44.52166666666667","8.907777777777778"
"2258","Moconesi","82","18","F256","44,25,18","9,12,40","44.42166666666667","9.21111111111111"
"2259","Moneglia","82","18","F354","44,14,26","9,29,30","44.24055555555556","9.491666666666665"
"2260","Montebruno","82","18","F445","44,31,33","9,14,50","44.52583333333333","9.247222222222222"
"2261","Montoggio","82","18","F682","44,30,57","9,2,48","44.51583333333333","9.046666666666667"
"2262","Ne","82","18","A012","44,20,44","9,23,57","44.345555555555556","9.399166666666666"
"2263","Neirone","82","18","F862","44,27,22","9,11,26","44.45611111111111","9.190555555555555"
"2264","Orero","82","18","G093","44,24,27","9,16,25","44.4075","9.273611111111112"
"2265","Pieve Ligure","82","18","G646","44,22,39","9,5,32","44.3775","9.092222222222222"
"2266","Portofino","82","18","G913","44,18,20","9,12,31","44.30555555555555","9.20861111111111"
"2267","Propata","82","18","H073","44,34,1","9,11,6","44.566944444444445","9.185"
"2268","Rapallo","82","18","H183","44,21,6","9,13,44","44.35166666666667","9.22888888888889"
"2269","Recco","82","18","H212","44,21,49","9,8,36","44.36361111111111","9.143333333333333"
"2270","Rezzoaglio","82","18","H258","44,31,41","9,23,17","44.528055555555554","9.388055555555555"
"2271","Ronco Scrivia","82","18","H536","44,36,49","8,57,27","44.61361111111111","8.9575"
"2272","Rondanina","82","18","H546","44,33,51","9,13,1","44.564166666666665","9.216944444444444"
"2273","Rossiglione","82","18","H581","44,34,5","8,39,54","44.56805555555556","8.665000000000001"
"2274","Rovegno","82","18","H599","44,34,41","9,16,46","44.57805555555556","9.279444444444445"
"2275","San Colombano Certenoli","82","18","H802","44,22,23","9,18,44","44.37305555555555","9.312222222222223"
"2276","Santa Margherita Ligure","82","18","I225","44,20,10","9,12,39","44.336111111111116","9.210833333333333"
"2277","Savignone","82","18","I475","44,33,59","8,59,18","44.56638888888889","8.988333333333333"
"2278","Sestri Levante","82","18","I693","44,16,25","9,23,47","44.27361111111111","9.396388888888888"
"2279","Sori","82","18","B990","44,22,25","9,6,13","44.37361111111111","9.10361111111111"
"2280","Tiglieto","82","18","L167","44,31,35","8,37,6","44.52638888888889","8.618333333333334"
"2281","Torriglia","82","18","L298","44,31,19","9,9,37","44.52194444444444","9.160277777777779"
"2282","Tribogna","82","18","L416","44,24,55","9,11,47","44.415277777777774","9.196388888888889"
"2283","Uscio","82","18","L507","44,24,47","9,10,2","44.41305555555555","9.167222222222222"
"2284","Valbrevenna","82","18","L546","44,33,33","9,3,54","44.55916666666666","9.065000000000001"
"2285","Vobbia","82","18","M105","44,36,6","9,2,27","44.60166666666667","9.040833333333333"
"2286","Zoagli","82","18","H258","44,20,27","9,16,4","44.340833333333336","9.267777777777779"
"2287","Airole","83","18","A111","43,52,23","7,33,18","43.87305555555555","7.555"
"2288","Apricale","83","18","A338","43,52,55","7,39,37","43.88194444444444","7.660277777777778"
"2289","Aquila Di Arroscia","83","18","A344","44,4,59","8,0,19","44.08305555555556","8.005277777777778"
"2290","Aurigo","83","18","A499","43,58,57","7,55,19","43.9825","7.921944444444445"
"2291","Badalucco","83","18","A536","43,55,0","7,50,52","43.916666666666664","7.847777777777777"
"2292","Baiardo","83","18","A581","43,54,18","7,43,3","43.905","7.7175"
"2293","Bordighera","83","18","A984","43,46,52","7,40,6","43.78111111111111","7.668333333333334"
"2294","Borgomaro","83","18","B020","43,58,34","7,56,46","43.976111111111116","7.946111111111112"
"2295","Camporosso","83","18","B559","43,48,56","7,37,51","43.815555555555555","7.630833333333334"
"2296","Caravonica","83","18","B734","43,59,33","7,57,36","43.9925","7.96"
"2297","Carpasio","83","18","B814","43,57,43","7,52,2","43.96194444444445","7.867222222222223"
"2298","Castel Vittorio","83","18","C110","43,55,49","7,40,30","43.930277777777775","7.675000000000001"
"2299","Castellaro","83","18","C143","43,51,54","7,52,9","43.865","7.8691666666666675"
"2300","Ceriana","83","18","C511","43,52,59","7,46,30","43.88305555555556","7.775"
"2301","Cervo","83","18","B508","43,55,39","8,6,57","43.927499999999995","8.115833333333333"
"2302","Cesio","83","18","C578","44,0,31","7,58,29","44.00861111111111","7.974722222222223"
"2303","Chiusanico","83","18","C657","43,58,25","7,59,30","43.97361111111111","7.991666666666667"
"2304","Chiusavecchia","83","18","C660","43,58,9","7,59,4","43.969166666666666","7.984444444444445"
"2305","Cipressa","83","18","C718","43,51,8","7,55,52","43.852222222222224","7.931111111111111"
"2306","Civezza","83","18","C755","43,52,48","7,57,3","43.88","7.950833333333334"
"2307","Cosio Di Arroscia","83","18","D087","44,4,37","7,49,57","44.07694444444445","7.8325"
"2308","Costarainera","83","18","D114","43,51,24","7,56,26","43.85666666666667","7.940555555555556"
"2309","Diano Arentino","83","18","D293","43,57,6","8,2,25","43.95166666666667","8.040277777777778"
"2310","Diano Castello","83","18","D296","43,55,35","8,3,58","43.92638888888889","8.066111111111113"
"2311","Diano Marina","83","18","D297","43,54,35","8,4,54","43.90972222222222","8.081666666666667"
"2312","Diano San Pietro","83","18","D298","43,55,59","8,4,20","43.933055555555555","8.072222222222223"
"2313","Dolceacqua","83","18","D318","43,51,10","7,37,26","43.85277777777778","7.62388888888889"
"2314","Dolcedo","83","18","D319","43,54,30","7,57,3","43.90833333333333","7.950833333333334"
"2315","Imperia","83","18","E290","43,52,35","8,0,55","43.87638888888889","8.015277777777778"
"2316","Isolabona","83","18","E346","43,52,51","7,38,27","43.880833333333335","7.640833333333333"
"2317","Lucinasco","83","18","E719","43,58,8","7,57,51","43.96888888888889","7.964166666666667"
"2318","Mendatica","83","18","F123","44,4,41","7,48,23","44.07805555555556","7.806388888888889"
"2319","Molini Di Triora","83","18","F290","43,59,30","7,46,33","43.99166666666667","7.775833333333333"
"2320","Montalto Ligure","83","18","F406","43,55,43","7,50,44","43.92861111111111","7.845555555555555"
"2321","Montegrosso Pian Latte","83","18","F528","44,4,6","7,49,6","44.068333333333335","7.818333333333333"
"2322","Olivetta San Michele","83","18","G041","43,52,50","7,31,0","43.88055555555555","7.516666666666667"
"2323","Ospedaletti","83","18","G164","43,48,10","7,43,6","43.80277777777778","7.718333333333334"
"2324","Perinaldo","83","18","G454","43,52,9","7,40,7","43.869166666666665","7.668611111111112"
"2325","Pietrabruna","83","18","G607","43,53,24","7,54,9","43.89","7.902500000000001"
"2326","Pieve Di Teco","83","18","G632","44,2,56","7,54,58","44.04888888888889","7.916111111111111"
"2327","Pigna","83","18","A222","43,56,6","7,39,52","43.934999999999995","7.664444444444444"
"2328","Pompeiana","83","18","G814","43,51,18","7,53,20","43.855000000000004","7.888888888888888"
"2329","Pontedassio","83","18","G840","43,56,31","8,0,39","43.94194444444444","8.010833333333334"
"2330","Pornassio","83","18","G890","44,4,35","7,51,39","44.07638888888889","7.860833333333333"
"2331","Rezzo","83","18","A390","44,1,26","7,52,19","44.02388888888889","7.871944444444445"
"2332","Riva Ligure","83","18","H328","43,50,22","7,52,59","43.839444444444446","7.883055555555556"
"2333","Rocchetta Nervina","83","18","H460","43,53,35","7,36,5","43.893055555555556","7.601388888888889"
"2334","San Bartolomeo Al Mare","83","18","H763","43,55,51","8,6,6","43.93083333333333","8.101666666666667"
"2335","San Biagio Della Cima","83","18","H780","43,49,11","7,39,0","43.819722222222225","7.65"
"2336","San Lorenzo Al Mare","83","18","H957","43,51,15","7,57,51","43.85416666666667","7.964166666666667"
"2337","San Remo","83","18","I138","43,49,5","7,46,28","43.81805555555556","7.774444444444445"
"2338","Santo Stefano Al Mare","83","18","I365","43,50,24","7,53,51","43.84","7.8975"
"2339","Seborga","83","18","I556","43,49,38","7,41,45","43.827222222222225","7.695833333333334"
"2340","Soldano","83","18","I796","43,49,49","7,39,19","43.83027777777778","7.655277777777778"
"2341","Taggia","83","18","L024","43,51,44","7,51,12","43.86222222222222","7.853333333333333"
"2342","Terzorio","83","18","L146","43,51,12","7,53,56","43.85333333333333","7.898888888888888"
"2343","Triora","83","18","F290","43,59,39","7,46,4","43.994166666666665","7.767777777777778"
"2344","Vallebona","83","18","L596","43,48,54","7,40,5","43.815","7.668055555555556"
"2345","Vallecrosia","83","18","L599","43,48,35","7,39,11","43.80972222222222","7.6530555555555555"
"2346","Vasia","83","18","L693","43,56,2","7,57,7","43.93388888888889","7.951944444444445"
"2347","Ventimiglia","83","18","L741","43,47,24","7,37,1","43.79","7.616944444444445"
"2348","Vessalico","83","18","L809","44,2,49","7,57,43","44.04694444444444","7.961944444444445"
"2349","Villa Faraldi","83","18","L943","43,58,10","8,5,26","43.96944444444445","8.090555555555556"
"2350","Ameglia","85","18","A261","44,4,2","9,57,29","44.06722222222223","9.958055555555555"
"2351","Arcola","85","18","A373","44,6,50","9,54,15","44.11388888888889","9.904166666666667"
"2352","Beverino","85","18","A836","44,11,45","9,46,11","44.19583333333333","9.769722222222223"
"2353","Bolano","85","18","A932","44,11,20","9,53,45","44.18888888888888","9.895833333333332"
"2354","Bonassola","85","18","A961","44,11,8","9,35,1","44.18555555555555","9.58361111111111"
"2355","Borghetto Di Vara","85","18","A992","44,13,30","9,43,16","44.225","9.721111111111112"
"2356","Brugnato","85","18","B214","44,14,13","9,43,29","44.23694444444445","9.724722222222223"
"2357","Calice Al Cornoviglio","85","18","B410","44,14,36","9,50,3","44.24333333333333","9.834166666666667"
"2358","Carro","85","18","B838","44,16,27","9,36,32","44.274166666666666","9.608888888888888"
"2359","Carrodano","85","18","B839","44,14,35","9,39,30","44.24305555555556","9.658333333333333"
"2360","Castelnuovo Magra","85","18","C240","44,6,1","10,1,3","44.10027777777778","10.0175"
"2361","Deiva Marina","85","18","D265","44,13,17","9,31,11","44.22138888888889","9.519722222222223"
"2362","Follo","85","18","A716","44,9,40","9,51,48","44.16111111111111","9.863333333333333"
"2363","Framura","85","18","D758","44,12,38","9,33,21","44.21055555555556","9.555833333333334"
"2364","La Spezia","85","18","E463","44,6,40","9,48,46","44.111111111111114","9.812777777777779"
"2365","Lerici","85","18","E542","44,4,37","9,54,51","44.07694444444445","9.914166666666667"
"2366","Levanto","85","18","E560","44,10,16","9,36,40","44.17111111111111","9.61111111111111"
"2367","Maissana","85","18","E842","44,20,21","9,32,9","44.33916666666667","9.535833333333333"
"2368","Monterosso Al Mare","85","18","F609","44,8,51","9,39,7","44.1475","9.651944444444444"
"2369","Ortonovo","85","18","G143","44,5,25","10,3,12","44.09027777777778","10.053333333333335"
"2370","Pignone","85","18","G664","44,10,41","9,43,16","44.17805555555555","9.721111111111112"
"2371","Portovenere","85","18","G925","44,3,10","9,50,1","44.05277777777778","9.83361111111111"
"2372","Riomaggiore","85","18","H304","44,6,5","9,44,21","44.10138888888889","9.739166666666666"
"2373","Rocchetta Di Vara","85","18","H461","44,15,11","9,45,34","44.253055555555555","9.759444444444444"
"2374","Santo Stefano Di Magra","85","18","I363","44,9,56","9,54,59","44.16555555555556","9.91638888888889"
"2375","Sarzana","85","18","I449","44,6,48","9,57,40","44.11333333333334","9.96111111111111"
"2376","Sesta Godano","85","18","E070","44,17,39","9,40,19","44.29416666666666","9.671944444444444"
"2377","Varese Ligure","85","18","L681","44,22,42","9,35,36","44.37833333333333","9.593333333333334"
"2378","Vernazza","85","18","L774","44,8,17","9,41,6","44.13805555555555","9.685"
"2379","Vezzano Ligure","85","18","L819","44,8,29","9,52,55","44.14138888888889","9.881944444444445"
"2380","Zignago","85","18","M177","44,16,44","9,44,53","44.278888888888886","9.748055555555554"
"2381","Alassio","84","18","A122","44,0,24","8,10,19","44.00666666666667","8.171944444444444"
"2382","Albenga","84","18","A145","44,2,59","8,12,53","44.04972222222222","8.214722222222221"
"2383","Albisola Marina","84","18","A165","44,19,38","8,30,2","44.327222222222225","8.500555555555556"
"2384","Albisola Superiore","84","18","A166","44,20,36","8,30,31","44.343333333333334","8.508611111111112"
"2385","Altare","84","18","A226","44,20,19","8,20,25","44.33861111111111","8.340277777777779"
"2386","Andora","84","18","A278","43,57,11","8,8,50","43.95305555555556","8.147222222222222"
"2387","Arnasco","84","18","A422","44,4,43","8,6,24","44.078611111111115","8.106666666666666"
"2388","Balestrino","84","18","A593","44,7,32","8,10,30","44.12555555555556","8.174999999999999"
"2389","Bardineto","84","18","A647","44,11,33","8,7,49","44.192499999999995","8.130277777777778"
"2390","Bergeggi","84","18","A796","44,14,53","8,26,21","44.24805555555556","8.439166666666667"
"2391","Boissano","84","18","A931","44,8,5","8,13,23","44.13472222222222","8.223055555555556"
"2392","Borghetto Santo Spirito","84","18","A999","44,6,36","8,14,30","44.11","8.241666666666665"
"2393","Borgio Verezzi","84","18","B005","44,9,42","8,18,34","44.16166666666666","8.309444444444445"
"2394","Bormida","84","18","B048","44,16,46","8,14,1","44.279444444444444","8.23361111111111"
"2395","Cairo Montenotte","84","18","B369","44,24,4","8,16,34","44.401111111111106","8.276111111111112"
"2396","Calice Ligure","84","18","B409","44,12,21","8,17,46","44.20583333333334","8.296111111111111"
"2397","Calizzano","84","18","B416","44,14,10","8,6,56","44.236111111111114","8.115555555555556"
"2398","Carcare","84","18","B748","44,21,38","8,17,22","44.36055555555556","8.289444444444444"
"2399","Casanova Lerrone","84","18","B927","44,2,4","8,2,55","44.03444444444444","8.04861111111111"
"2400","Castelbianco","84","18","C063","44,6,48","8,4,28","44.11333333333334","8.074444444444444"
"2401","Castelvecchio Di Rocca Barbena","84","18","C276","44,7,50","8,7,12","44.13055555555555","8.120000000000001"
"2402","Celle Ligure","84","18","C443","44,20,46","8,32,41","44.346111111111114","8.544722222222221"
"2403","Cengio","84","18","C463","44,23,33","8,12,23","44.3925","8.206388888888888"
"2404","Ceriale","84","18","C510","44,5,47","8,13,57","44.09638888888889","8.2325"
"2405","Cisano Sul Neva","84","18","C729","44,5,12","8,8,52","44.086666666666666","8.147777777777778"
"2406","Cosseria","84","18","D095","44,22,14","8,13,59","44.370555555555555","8.233055555555556"
"2407","Dego","84","18","C190","44,27,4","8,18,40","44.45111111111111","8.311111111111112"
"2408","Erli","84","18","A799","44,8,15","8,6,23","44.1375","8.106388888888889"
"2409","Finale Ligure","84","18","D600","44,10,14","8,20,45","44.17055555555555","8.345833333333333"
"2410","Garlenda","84","18","D927","44,2,2","8,5,49","44.03388888888889","8.096944444444444"
"2411","Giustenice","84","18","E064","44,10,27","8,14,37","44.174166666666665","8.243611111111111"
"2412","Giusvalla","84","18","E066","44,27,7","8,23,33","44.45194444444445","8.3925"
"2413","Laigueglia","84","18","E414","43,58,51","8,9,18","43.98083333333334","8.155000000000001"
"2414","Loano","84","18","E632","44,7,46","8,15,29","44.129444444444445","8.258055555555556"
"2415","Magliolo","84","18","E816","44,11,27","8,14,52","44.19083333333333","8.247777777777777"
"2416","Mallare","84","18","E860","44,17,35","8,17,55","44.293055555555554","8.29861111111111"
"2417","Massimino","84","18","F046","44,18,1","8,4,16","44.30027777777777","8.071111111111112"
"2418","Millesimo","84","18","F213","44,21,54","8,12,18","44.365","8.205"
"2419","Mioglia","84","18","F226","44,29,30","8,24,37","44.49166666666667","8.410277777777779"
"2420","Murialdo","84","18","F813","44,19,5","8,9,42","44.31805555555556","8.161666666666667"
"2421","Nasino","84","18","F847","44,6,54","8,1,57","44.115","8.0325"
"2422","Noli","84","18","A567","44,12,28","8,24,58","44.20777777777778","8.416111111111112"
"2423","Onzo","84","18","A501","44,4,9","8,3,10","44.06916666666667","8.052777777777779"
"2424","Orco Feglino","84","18","D522","44,13,19","8,19,39","44.221944444444446","8.3275"
"2425","Ortovero","84","18","G144","44,3,11","8,5,49","44.05305555555555","8.096944444444444"
"2426","Osiglia","84","18","G155","44,16,42","8,11,59","44.27833333333333","8.199722222222222"
"2427","Pallare","84","18","G281","44,19,43","8,16,32","44.328611111111115","8.275555555555556"
"2428","Piana Crixia","84","18","G542","44,28,49","8,18,37","44.48027777777778","8.31027777777778"
"2429","Pietra Ligure","84","18","G605","44,9,1","8,17,1","44.150277777777774","8.28361111111111"
"2430","Plodio","84","18","G741","44,21,35","8,14,35","44.359722222222224","8.243055555555555"
"2431","Pontinvrea","84","18","G866","44,26,46","8,26,5","44.44611111111111","8.434722222222222"
"2432","Quiliano","84","18","H126","44,17,42","8,24,29","44.294999999999995","8.408055555555556"
"2433","Rialto","84","18","H266","44,13,42","8,15,55","44.22833333333333","8.265277777777778"
"2434","Roccavignale","84","18","H452","44,21,47","8,11,29","44.363055555555555","8.19138888888889"
"2435","Sassello","84","18","I453","44,28,54","8,29,22","44.48166666666667","8.489444444444443"
"2436","Savona","84","18","I480","44,18,29","8,28,58","44.308055555555555","8.482777777777779"
"2437","Spotorno","84","18","I926","44,13,42","8,25,6","44.22833333333333","8.418333333333333"
"2438","Stella","84","18","B195","44,23,33","8,29,54","44.3925","8.498333333333333"
"2439","Stellanello","84","18","I947","44,0,11","8,3,24","44.003055555555555","8.056666666666667"
"2440","Testico","84","18","L152","44,0,21","8,1,42","44.005833333333335","8.028333333333334"
"2441","Toirano","84","18","L190","44,7,33","8,12,41","44.12583333333333","8.211388888888887"
"2442","Tovo San Giacomo","84","18","L315","44,10,33","8,16,14","44.17583333333333","8.270555555555557"
"2443","Urbe","84","18","L499","44,29,17","8,35,20","44.488055555555555","8.58888888888889"
"2444","Vado Ligure","84","18","L528","44,16,22","8,26,15","44.272777777777776","8.4375"
"2445","Varazze","84","18","L675","44,21,47","8,34,27","44.363055555555555","8.574166666666667"
"2446","Vendone","84","18","L730","44,4,39","8,4,17","44.0775","8.071388888888889"
"2447","Vezzi Portio","84","18","L823","44,13,47","8,22,0","44.22972222222222","8.366666666666667"
"2448","Zuccarello","84","18","M197","44,6,39","8,7,2","44.11083333333333","8.117222222222223"
"2449","Adrara San Martino","90","19","A057","45,42,4","9,57,2","45.70111111111111","9.950555555555555"
"2450","Adrara San Rocco","90","19","A058","45,42,56","9,57,31","45.71555555555556","9.95861111111111"
"2451","Albino","90","19","A163","45,45,39","9,47,43","45.76083333333333","9.795277777777777"
"2452","Algua","90","19","A193","45,49,53","9,43,13","45.831388888888895","9.720277777777778"
"2453","Almenno San Bartolomeo","90","19","A216","45,45,3","9,34,40","45.75083333333333","9.577777777777778"
"2454","Almenno San Salvatore","90","19","A217","45,45,9","9,35,15","45.7525","9.5875"
"2455","Alzano Lombardo","90","19","A246","45,44,10","9,43,41","45.736111111111114","9.728055555555555"
"2456","Ambivere","90","19","A259","45,43,16","9,32,48","45.721111111111114","9.546666666666667"
"2457","Antegnate","90","19","A304","45,29,9","9,47,27","45.48583333333333","9.790833333333333"
"2458","Arcene","90","19","A365","45,34,36","9,36,51","45.57666666666667","9.614166666666666"
"2459","Ardesio","90","19","A383","45,56,25","9,55,52","45.94027777777777","9.931111111111111"
"2460","Averara","90","19","A511","45,59,18","9,38,3","45.98833333333334","9.634166666666665"
"2461","Aviatico","90","19","A517","45,48,11","9,46,18","45.80305555555555","9.771666666666668"
"2462","Azzano San Paolo","90","19","A528","45,39,42","9,40,26","45.66166666666666","9.673888888888888"
"2463","Azzone","90","19","A533","45,58,45","10,6,54","45.97916666666667","10.115"
"2464","Bagnatica","90","19","A557","45,39,51","9,46,57","45.66416666666667","9.7825"
"2465","Barbata","90","19","A631","45,28,33","9,46,35","45.475833333333334","9.77638888888889"
"2466","Bariano","90","19","A664","45,30,45","9,42,21","45.5125","9.705833333333333"
"2467","Barzana","90","19","A684","45,44,16","9,33,57","45.73777777777778","9.565833333333334"
"2468","Bedulita","90","19","A732","45,47,49","9,32,43","45.79694444444444","9.545277777777777"
"2469","Berbenno","90","19","A786","45,48,57","9,34,3","45.81583333333333","9.567499999999999"
"2470","Bergamo","90","19","A794","45,42,1","9,40,8","45.70027777777778","9.668888888888889"
"2471","Berzo San Fermo","90","19","A815","45,43,13","9,53,51","45.72027777777778","9.897499999999999"
"2472","Bianzano","90","19","A846","45,46,31","9,55,16","45.775277777777774","9.921111111111111"
